ds,yhat,yhat_lower,yhat_upper
2023-10-24,9.385986823631608,8.410911218022639,10.510919110575907
2023-10-25,9.414010665708595,8.42682144410503,10.479067522752992
2023-10-26,9.433119979003347,8.436884757642064,10.440235696029955
2023-10-27,9.43508525817803,8.40757771202943,10.417318150131734
2023-10-30,9.499744952284052,8.492470271562164,10.509286438376249
2023-10-31,9.5415874922456,8.629782918621087,10.607822689157953
2023-11-01,9.567370011475479,8.57231728655855,10.531386553528268
2023-11-03,9.583119984069473,8.551064197803926,10.62276593182841
2023-11-06,9.637134301764274,8.638436187687818,10.613599244827114
2023-11-07,9.67462306698555,8.640663471811415,10.683438786254664
2023-11-08,9.69563910064773,8.717141240780867,10.66181253993363
2023-11-09,9.707073625261827,8.632457483945648,10.729397006403167
2023-11-10,9.70068047044205,8.721502483887413,10.72556359673473
2023-11-13,9.73625585299804,8.757417422754063,10.803549238978798
2023-11-14,9.76719190750225,8.700603958834524,10.83346031015611
2023-11-16,9.786361887769909,8.71900221349648,10.799529662831016
2023-11-17,9.77339754148958,8.725822418913056,10.768979514267878
2023-11-20,9.790424428662917,8.722173983846103,10.803725523822607
2023-11-21,9.815770867469537,8.793399614240656,10.832902344744895
2023-11-22,9.824930347836807,8.848652738999048,10.842299061894538
2023-11-23,9.824894305361909,8.849815391239927,10.895036775377566
2023-11-24,9.807500489639631,8.818228748896802,10.812665833851298
2023-11-27,9.813412016655167,8.847183444230952,10.86509836468446
2023-11-28,9.835620225179452,8.824772643967584,10.877587887095478
2023-11-29,9.841807105162454,8.825331511851447,10.80229212243449
2023-11-30,9.838874311937943,8.739305206858424,10.874452182390055
2023-12-01,9.818561113385336,8.878472679738534,10.774181053474978
2023-12-04,9.814540355701958,8.829627925386058,10.881564935062261
2023-12-05,9.832710977538218,8.807969946064476,10.854955924414025
2023-12-06,9.834349372053515,8.839527532917035,10.830631326524951
2023-12-07,9.826289672109237,8.74435217417398,10.884981237818096
2023-12-08,9.800223066117384,8.78046391437021,10.8012698781521
2023-12-11,9.775060384690782,8.724655548447906,10.8044157287912
